Date of submission,AISHE ID,Institution Track ID,Application For,Cycle of Accreditation,Name of the College,Date of establishment of the Institution,Name of the Head of the Institution,Designation,Does the college function from Own Campus,Address of the College,State/UT,District,City,Pin,Phone No,Fax No,Mobile No,Registered Email,Alternate Email,Alternate Faculty Contact Details,Address,State/UT_1,Pin_1,Phone No_1,Fax No_1,Mobile No_1,Email,Alternate Email_1,Website,"Has the Institution completed 6 years of existence /
Years of graduation of last two batches",Nature of the college,College Affiliation,"Is the Institution recognized under section 2(f) of the
UGC Act?","Is the Institution recognized under section 12B of the
UGC Act?
If yes, date of recognition by UGC under section
12B along with latest Plan General Development
Grant release letter","Is the institution recognised as an Autonomous
College by the UGC?","Is the institution recognised as a ‘College with
Potential for Excellence (CPE)’ by the UGC?","Is the institution recognised as a ‘College of
Excellence’ by the UGC?","Is the College offering any programmes recognised
by any Statutory Regulatory Authority (SRA)",State,University Name,Male,Female,Transgender,Total,Date of establishment of IQAC,Date of uploading data on MHRD website for AISHE,Name of the University,Does the University function from Own Campus,Address of the University,Alternate Phone No,City_1,Alternate Phone No_1,Nature of the University,Type of University,"If the University is not under the purview of UGC
indicate the parent Ministry / Authority under which it
was established(attach proof)","Is the institution recognised as a ‘University with
Potential for Excellence (CPE)’ by the UGC?","Is the University offering any programmes recognised
by any Statutory Regulatory Authority (SRA)","Whether the Institution is registered in the National
Academic Depository (NAD) system",Old Name of the Institution,,Ol Name of University
23/05/2024,C-8920,MHCOGN114430,Accreditation,Cycle1,LATE DCBEDT'S BIYANI COLLEGE OF EDUCATION BHUSAWAL,26/06/2008,Dr. KANCHAN VIJAYKUMAR JOSHI,Principal(in-charge),Yes,"At Mirgavhan, Near Govt. ITI, Jamner Road, Bhusawal, Jalgaon 425201",MAHARASHTRA,JALGAON,BHUSAWAL,425201,02582-242010,-,9096255816,biyanibedcollege@yahoo.co.in,kanchanjoshi23@gmail.com,Mrs. MANGALA ASHOK SARODE IQAC / CIQA coordinator,"Khalwadi Juna Satara Wedi Mata Temple, Bhusawal",MAHARASHTRA,425201,0258-2582242010,-,9021398811,mangalasarode1979@gmail.com,,https://biyanicollegeofeducation.com/,"Yes
Year1- 2022 Year2- 2023",Private and Self Financing,"Affiliated
(Teacher Education Institutions)",No,No,No,No,No,Yes,Maharashtra,"Kavayitri Bahinabai
Chaudhari North Maharashtra
University",,,,,15/06/2023,03/01/2023 ,,,,,BHUSAWAL,,,,,,,,,,
15/10/2018,C-50912,JKCOGN102097,Accreditation,Cycle1,GOVERNMENT DEGREE COLLEGE SUMBAL,19/05/2010,Prof. ZAHIR UD DIN MIR,Principal,Yes,"Sumbal Sonawari, Bandipora",JAMMU AND KASHMIR,,SUMBAL,193501,01954-230208,-,9419058989,principalgdcsumbal@gmail.com,sheikh.s.ajmal@gmail.com,Dr. MEHRAJ UD DIN PARAY Associate Professor,"Sumbal Sonawari, Bandipora",JAMMU AND KASHMIR,193502,-,-,7006844475,hajnimehraj1@rediffmail.com,,www.gdcsumbal.edu.in,"Yes
Year1- 2017 Year2- 2018",Government,"Affiliated
(Affiliated UG College)","Yes
02/03/2012
View Document",No,No,No,No,No,"Jammu And
Kashmir",University of Kashmir,1602,1087,0,2689,10/07/2018,04/03/2018 ,,,,,SUMBAL,,,,,,,No,,,
19/03/2020,C-10711,HRCOGN10550,Accreditation,Cycle3 Cycle Date Grade Score 1 08/01/2004 C 55.30 2 10/12/2014 B 2.16 3 31/08/2021 B 2.47,GOVT COLLEGE NALWA,24/01/1981,Mr. R.S.KAJAL,Principal,Yes,"G.C.NALWA, v.p.o Nalwa, distt Hisar, Haryana",HARYANA,,HISAR,125037,01663-289654,-,9466869584,pplgcnalwa21@gmail.com,,Mrs. GARIMA MANN IQAC / CIQA coordinator,,HARYANA,125037,-,-,9416582319,gskhatri15@gmail.com,,Principalgcnalwa@gmail.com,Yes,Government,"Affiliated
(Affiliated UG College)","Yes
24/01/1994
View Document","Yes
12/02/2010
View Document",No,No,No,No,Haryana,"Guru Jambeshwar University
of Science and Technology",558,170,0,728,12/08/2013,09/02/2020 ,,,,,HISAR,,,,,,,,,,
30/01/2020,C-35037,TSCOGN106310,Accreditation,Cycle1,GOVERNMENT DEGREE COLLEGE MORTHAD,01/06/2009,Dr. T PEDDANNA,Principal,Yes,"H NO. 17-45/2, SC BC COLONY, NEAR MPDO AND MRO OFFICE, ADJACENT TO GOVT JR COLLEGE, MANDAL AND VILLAGE MORTHAD, DISTRICT NIZAMABAD, 503225",TELANGANA,,MORTHAD DISTRICT NIZAMABAD,503225,08463-297066,-,9948954811,gdcmorthad@gmail.com,prl-gdc-mrtd-ce@telangana.gov.in,Mr. U DASHARATHA IQAC / CIQA coordinator,"H.NO. 16-106/16, OPP PALEM ROAD, MORTHAD",TELANGANA,,-,-,9966775352,dasharatha5352@gmail.com,,http://gdcts.cgg.gov.in/morthad.edu#,"Yes
Year1- 2018 Year2- 2019",Government,"Affiliated
(Affiliated UG College)","Yes
31/10/2012
View Document",No,No,No,No,No,Telangana,Telangana University,197,210,,407,15/03/2019,06/02/2020 ,,,,,MORTHAD DISTRICT NIZAMABAD,,,,,,,,,,
02/06/2021,C-9753,CGCOGN107861,Accreditation,Cycle1,GOVT.LARANG SAI P.G.COLLEGE RAMANUJGANJ,13/10/1987,Dr. RAM BHAJAN SONWANI,Principal(in-charge),Yes,"Govt. Larang Sai P.G.College Ramanujganj,Jail Road Ramanujganj District-Balrampur-Ramanujganj (Chhattisgarh) 497220",CHHATTISGARH,BALRAMPUR,RAMANUJGANJ,497220,07779-276361,-,9165146094,cgglsc@gmail.com,augustinkujur@gmail.com,Mr. VINIT KUMAR GUPTA IQAC / CIQA coordinator,"Govt.Larang Sai P.G. College Ramanujganj,Jail Road Ramanujganj,Distri ct-Balrampur-Ramanujganj (Chhattisgarh) 497220",CHHATTISGARH,497220,-,-,9718707063,vinitgupta58@gmail.com,58vinitgupta@gmail.com,www.glspgcr.in,"Yes
Year1- 2019 Year2- 2020",Government,"Affiliated
(Affiliated PG & Above college)","Yes
31/03/2014
View Document","Yes
13/02/2016
View Document",No,No,No,No,Chhattisgarh,"Sant Gahira Guru
Vishwavidyalaya Sarguja",510,727,0,1237,08/03/2018,08/07/2020 ,,,,,,,,,,,,,,,
12/12/2019,C-34112,MHCOGN105009,Accreditation,Cycle1,"BHARATIYA VIDYA BHAVAN'S SARDAR PATEL COLLEGE OF ENGINEERING, ANDHERI WEST MUMBAI",01/01/1962,Dr. P.H.SAWANT,Principal,Yes,"Bhavans Campus, Munshi Nagar, Andheri - (w), Mumbai - 400058",MAHARASHTRA,,MUMBAI,400058,022-26289777,9122-26237819,9969259751,dean_acad@spce.ac.in,m_murudi@spce.ac.in,Dr. M.M.MURUDI Professor,"Bhavans Campus, Munshi Nagar, Andheri - (w), Mumbai - 400058",MAHARASHTRA,400058,022-26232192,-,9969259751,mohanmurudi@gmail.com,s_rane@spce.ac.in,http://www.spce.ac.in/index.php,"Yes
Year1- 2018 Year2- 2019",Grant-in-aid,"Affiliated
(Autonomous colleges)","Yes
24/10/2016
View Document","Yes
24/10/2016
View Document","Yes
View Document",No,No,Yes,Maharashtra,University of Mumbai,772,248,0,1020,12/02/2016,29/01/2019 ,,,,,MUMBAI,,,,,,,,,,
28/10/2022,C-36372,TNCOGN27508,Accreditation,Cycle2 Cycle Date Grade Score 1 30/10/2017 B+ 2.63 2 01/05/2023 A 3.24,K.M.G.COLLEGE OF ARTS AND SCIENCE,04/07/2000,Dr. M. SENTHILRAJ,Principal,Yes,"Railway Station Road, Ammanankuppam",TAMIL NADU,VELLORE,GUDIYATTAM,635803,04171-227306,04171-227600,8438938269,kmgcollege@gmail.com,kmgcollege@kmgcollege.edu.in,Ms. G. SHOBARANI IQAC / CIQA coordinator,"Railway Station Road, Ammanankuppam",TAMIL NADU,635803,04171-227906,04171-227600,6384001559,kmgiqac@gmail.com,gshoba8@gmail.com,www.kmgcollege.edu.in,"Yes
Year1- 2019 Year2- 2020",Self Financing,"Affiliated
(Affiliated/Constituent Colleges)","Yes
11/01/2012
View Document","Yes
23/02/2017
View Document",No,No,No,No,Tamil Nadu,Thiruvalluvar University,1320,754,0,2074,22/06/2016,05/02/2022 ,,,,,GUDIYATTAM,,,,,,,,,,
30/03/2023,C-34449,MHCOGN10800,Accreditation,Cycle3 Cycle Date Grade Score 1 16/02/2004 B++ 83.60 2 28/03/2010 B 2.1 3 01/02/2024 A+ 3.28,"SBES COLLEGE OF ARTS AND COMMERCE, AURANGABAD (M.S.)",01/01/1963,Prof. MAKARAND ARVIND PAITHANKAR,Principal(in-charge),Yes,"SBES College of Arts and Commerce, Saraswati Nagar, Aurangpura",MAHARASHTRA,AURANGABAD,AURANGABAD,431001,0240-2332040,-,9422201233,sbescollegeac@yahoo.com,admin@sbaccollege.in,,"SBES College of Arts and Commerce,
Saraswati Nagar, Aurangpura",MAHARASHTRA,431001,0240-2344835,-,9011436144,dr.gorakhkakade@gmail.com,,www.sbaccollege.in,"Yes
Year1- 2021 Year2- 2022","Private and Grant-in-aid and Self
Financing","Affiliated
(Affiliated/Constituent Colleges)","Yes
01/11/1964
View Document","Yes
01/11/1964
View Document",No,No,No,No,Maharashtra,"Dr. Babasaheb Ambedkar
Marathwada University",1223,1321,0,2544,25/03/2004,02/01/2023 ,,,,,AURANGABAD,,,,,,,,,,
31/12/2022,U-0532,UPUNGN11446,Accreditation,Cycle2 Cycle Date Grade Score 1 16/11/2015 C 1.51 2 27/09/2023 B 2.48,,27/06/2008,Prof. Sanjay Kumar Srivastava,Vice Chancellor,,,Uttar pradesh,,Allahabad,221505,0532-2407777,,9415182100,vice.chancellor@ngbu.edu.in,ashok.srivastav@ngbu.edu.in,Prof. Rohit Ramesh,"Nehru Gram Bharati (Deemed to be
University), Kotwa-Jamunipur, Dubawal",Uttar pradesh,221505,0532-2466444,,7355068790,dean.mgmt@ngbu.edu.in,rohitrpande@gmail.com,https://www.ngbv.ac.in,"Yes
Year1- 2021 Year2- 2022",,,"Yes
08/08/2008
View Document",No,,,,,,,2214,1674,0,3888,28/05/2015,25/03/2022 ,Nehru Gram Bharati (Deemed to be University),Yes,"Nehru Gram Bharati (Deemed to be University), Kotwa-Jamunipur, Dubawal",0532-,Allahabad,0532-,"Deemed University
View Document",Unitary,No,No,Yes,,,,NEHRU GRAM BHARATI VISHWAVIDYALAYA View Document
01/02/2021,C-43932,TNCOGN22545,Accreditation,Cycle2 Cycle Date Grade Score 1 17/03/2016 A 3.02 2 29/03/2022 B 2.36,VIDHYA SAGAR WOMEN'S COLLEGE,04/11/2004,Dr. C.SHALINI,Principal,Yes,VIDHYA SAGAR WOMENS COLLEGE G.S.T ROAD VEDANARAYANAPURAM,TAMIL NADU,KANCHIPURAM,CHENGALPATTU,603111,044-8754048030,044-27433958,9952415025,a_sprincipal@vswc.in,naac@vswc.in,Dr. R.ARUNADEVI IQAC / CIQA coordinator,VIDHYA SAGAR WOMENS COLLEGE G.S.T. ROAD VEDANARAYANAPURAM,TAMIL NADU,603111,044-9500059784,044-27433959,9500059784,iqac@vswc.in,secry2principal@vswc.in,http://arts.vidhyasagar.in,"Yes
Year1- 2019 Year2- 2020",Self Financing,"Affiliated
(Affiliated PG & Above college)",No,No,No,No,No,No,Tamil Nadu,University of Madras,0,2435,0,2435,20/06/2013,18/02/2020 ,,,,,CHENGALPATTU,,,,,,,,,,
27/11/2023,C-46832,UPCOGN115345,Accreditation,Cycle1,KANPUR INSTITUTE OF TECHNOLOGY AND PHARMACY,30/06/2009,Dr. PRASHANT KUMAR KATIYAR,Director,Yes,"A-1, UPSIDC, Industrial Area, Rooma, Kanpur",UTTAR PRADESH,KANPUR NAGAR,KANPUR,208001,091-7705011891,-,7007871483,info.kitp@kit.ac.in,director.kitp@kit.ac.in,Dr. PRASHANT KUMAR IQAC / CIQA coordinator,"A-1, UPSIDC, Industrial Area, Rooma, Kanpur",UTTAR PRADESH,208001,,-,9451223730,prashant.kumar@kit.ac.in,prashant521@gmail.com,www.kit.ac.in/kitp,"Yes
Year1- 2022 Year2- 2023",Private,"Affiliated
(Affiliated/Constituent Colleges)",No,No,No,No,No,Yes,Uttar pradesh,"Dr Apj Abdul Kalam
Technical University Uttar
Pradesh Lucknow",290,129,0,419,04/07/2018,31/01/2023 ,,,,,KANPUR,,,,,,,,,,
31/10/2022,C-17210,ASCOGN11072,Accreditation,Cycle3 Cycle Date Grade Score 1 03/05/2004 B+ 76.00 2 21/02/2014 B 2.81 3 02/06/2023 B++ 2.94,"DAKSHIN KAMRUP COLLEGE, MIRZA",14/11/1961,Dr. NABAJYOTI DAS,Principal,Yes,"Dakshin Kamrup College, Mirza",ASSAM,KAMRUP,MIRZA,781125,03623-296716,-,8638589867,dkcollege_mirza@rediffmail.com,dnabajyoti09@gmail.com,Dr. JILMIL BORA IQAC / CIQA coordinator,"Dakshin Kamrup College, Mirza",ASSAM,781125,03623-291930,-,9613810848,iqac.dkc2020@gmail.com,jilmil.dkc@gmail.com,www.dkcollegeonline.in,"Yes
Year1- 2021 Year2- 2022",Grant-in-aid,"Affiliated
(Affiliated/Constituent Colleges)","Yes
02/08/1967
View Document","Yes
08/02/1972
View Document",No,No,No,No,Assam,Gauhati University,1490,1748,0,3238,10/01/2003,31/05/2022 ,,,,,MIRZA,,,,,,,,,,
28/06/2021,C-35135,MPCOGN110175,Accreditation,Cycle1,GOVERNMENT COLLEGE SHAHPUR,24/07/2008,Mr. MAHADEO WAGHMARE,Principal(in-charge),Yes,"PATUAPURA, CHAPDA MAL, TEHSIL- SHAHPUR, DIST. BETUL.M.P.",MADHYA PRADESH,BETUL,SHAHPUR,460440,07146-273032,07146-273042,8319697789,hegcshabet@mp.gov.in,hegcshabet@gmail.com,Dr. SHEETAL CHOUDHARY IQAC / CIQA coordinator,COLLEGE CAMPUS GOVT. COLLEGE SHAHPUR DIST. BETUL M.P.,MADHYA PRADESH,460440,-,-,8103311810,sheetal.choudhary8@gmail.com,dr.sheetalchoudhary@mp.gov.in,www.govtcollegeshahpur.com,"Yes
Year1- 2019 Year2- 2020",Government and Self Financing,"Affiliated
(Affiliated PG & Above college)","Yes
28/11/2017
View Document",No,No,No,No,No,"Madhya
Pradesh",Chhindwara University,487,697,0,1184,10/08/2020,19/02/2020 ,,,,,SHAHPUR,,,,,,,,,,
10/01/2018,C-41907,MHCOGN101141,Accreditation,Cycle1,SURYADATTA INSTITUTE OF MANAGEMENT AND MASS COMMUNICATION (SIMMC),01/01/2008,Dr.SANJAY B. CHORDIYA,Director,Yes,"Saraswati, Survey No. 342, Off Pashan Chandani Chowk Road, Besides DSK Ranwara, Near Lalani Quantum, Bavdhan (BK)",MAHARASHTRA,,PUNE,411021,020-67901300,020-67901333,9881490036,simmc.naac@suryadatta.edu.in,support@suryadatta.edu.in,Mr.AKSHIT KUSHAL IQAC / CIQA coordinator,"Saraswati, Survey No. 342, Off Pashan Chandani Chowk Road, Besides DSK Ranwara, Near Lalani Quantum, Bavdhan (BK)",MAHARASHTRA,411021,,-,8956932400,akshit.kushal@suryadatta.edu.in,sbc27661@gmail.com,www.simmc.org,"Yes
Year1- 2016 Year2- 2017",Private and Self Financing,"Affiliated
(Affiliated PG & Above college)",No,No,No,No,No,Yes,Maharashtra,"Savitribai Phule Pune
University",159,80,0,239,07/06/2017,24/02/2017 ,,,,,PUNE,,,,,,,,,,
10/06/2024,C-11219,MHCOGN10877,Accreditation,Cycle4 Cycle Date Grade Score 1 16/02/2004 C++ 67.75 2 27/03/2011 B 2.455 3 26/09/2018 B+ 2.57,"ARTS AND COMMERCE COLLEGE, ASHTA",01/01/1965,Dr. RAJENDRA MADHUKAR KURLAPKAR,Principal,Yes,"AT POST- ASHTA, DUDHGAON ROAD, TAL. WALWA, DIST. SANGLI (MAHARASHTRA) PIN- 416301",MAHARASHTRA,SANGLI,ASHTA,416301,02342-242032,-,9423271636,arunpatil2007@gmail.com,san.acashta@gmail.com,Prof. SUNIL GUNWANT PATIL Professor,"ARTS AND COMMERCE COLLEGE, ASHTA,
DUDHGAON ROAD, TAL. WALWA, DIST. SANGLI",MAHARASHTRA,416301,-,-,7972683258,rajendrapradhan3283@gmail.com,naacdoc2023@gmail.com,www.acsashta.org,"Yes
Year1- 2022 Year2- 2023","Private and Grant-in-aid and Self
Financing","Affiliated
(Affiliated/Constituent Colleges)","Yes
27/09/2011
View Document","Yes
27/09/2011
View Document",No,No,No,No,Maharashtra,Shivaji University,579,440,0,1019,12/07/2004,05/03/2024 ,,,,,ASHTA,,,,,,,,,,
08/04/2024,C-12857,BRCOGN23384,Accreditation,Cycle2 Cycle Date Grade Score 1 23/01/2017 B+ 2.51 2 03/10/2024 C 1.97,SRI ARVIND MAHILA COLLEGE,15/08/1960,Prof. DR. SADHANA THAKUR,Principal(in-charge),Yes,"Kazipur, Road No - 04",BIHAR,PATNA,PATNA,800004,0612-3152455,-,8010879324,iqac.samcpatna@gmail.com,,Prof. DR. ANJALI PRASAD IQAC / CIQA coordinator,"Kazipur, Road No - 04",BIHAR,800004,0612-9934802014,-,9934802014,samcpatna0612@gmail.com,,https://samcpatna.ac.in,"Yes
Year1- 2022 Year2- 2023",Constituent,"Affiliated
(Affiliated/Constituent Colleges)","Yes
07/11/1994
View Document","Yes
31/03/2004
View Document",No,No,No,No,Bihar,Patliputra University,0,6155,0,6155,17/03/2016,29/02/2024 ,,,,,PATNA,,,,,,,,,,
31/12/2022,C-21831,CGCOGN113080,Accreditation,Cycle1,"MATA KARMA ARTS, COMMERCE AND SCIENCE COLLEGE, GUNDERDEHI",26/07/2002,Mr. M.L. DESHMUKH,Principal(in-charge),Yes,"MATA KARMA ARTS, COMMERCE AND SCIENCE COLLEGE ,GUNDERDEHI ,DIST- BALOD (C.G)",CHHATTISGARH,BALOD,BALOD,491223,0788-2994577,-,8839633833,matakarmanaac123@gmail.com,matakarmanaac123@gmail.com,Mrs. KIRAN SAHU IQAC / CIQA coordinator,"MATA KARMA ARTS, COMMERCE AND SCIENCE COLLEGE ,GUNDERDEHI, DIST- BALOD (C.G.)",CHHATTISGARH,491223,-,-,7999441933,kiransahu687@gmail.com,,matakarmacollegegunderdehi.com,"Yes
Year1- 2021 Year2- 2022",Private,"Affiliated
(Affiliated/Constituent Colleges)",No,No,No,No,No,No,Chhattisgarh,"Hemchand Yadav University
Durg",130,148,0,278,18/01/2013,22/12/2022 ,,,,,BALOD,,,,,,,,,,
18/10/2022,C-20681,KACOGN113079,Accreditation,Cycle1,GOVERNMENT FIRST GRADE COLLEGE GUDIBANDE,05/08/1996,Mr. KRISHNAPPA V,Principal,Yes,"Government First Grade College, Gudibande, Chikkaballapura Dist., Karnataka - 561209",KARNATAKA,CHIKKABALLAPUR,GUDIBANDE,561209,08156-9611377596,-,9611377596,gfgc.gudi@gmail.com,,Mr. VENKATARAMU B R IQAC / CIQA coordinator,"Government First Grade College, Gudibande, Chikkaballapura Dist., Karanataka - 561209",KARNATAKA,561209,08156-200166,-,7899581146,iqacgfgc.gudi@gmail.com,,https://gfgc.kar.nic.in/gudibande/,"Yes
Year1- 2021 Year2- 2022",Government,"Affiliated
(Affiliated/Constituent Colleges)",No,No,No,No,No,No,Karnataka,Bengaluru North University,,,,,01/07/2017,10/02/2022 ,,,,,GUDIBANDE,,,,,,,,,,
20/02/2023,C-41462,MHCOGN113859,Accreditation,Cycle1,RAJMATA JIJAU SHIKSHAN PRASARAK MANDAL'S INSTITUE OF COMPUTER AND MANAGEMENT RESEARCH,07/09/2007,Dr. BAGUL DHANANJAY BHASKARRAO,Director,Yes,GAT NO 101/102 AT DUDULGAON POST ALANDI (DEVACHI) TAL - HAVELI DIST - PUNE PIN 412105 MAHARASHTRA,MAHARASHTRA,PUNE,PUNE,412105,020-20280280,020-20280280,9850716430,rjspmicmrnaac@gmail.com,directorrjspmicmr@gmail.com,Dr. LEMBHE YASHWANT DATTATRAY IQAC / CIQA coordinator,,MAHARASHTRA,412105,020-66998966,020-20280280,9552569451,lambs115@gmail.com,akashgawade273@gmail.com,www.rjspmicmr.com,"Yes
Year1- 2021 Year2- 2022",Self Financing,"Affiliated
(Affiliated/Constituent Colleges)",No,No,No,No,No,Yes,Maharashtra,"Savitribai Phule Pune
University",71,59,0,130,09/01/2023,22/12/2022 ,,,,,PUNE,,,,,,,,,,
30/05/2024,C-17449,KACOGN12080,Accreditation,Cycle4 Cycle Date Grade Score 1 28/02/2005 B+ 77.45 2 05/01/2013 B 2.57 3 26/09/2018 C 1.83 4 26/12/2024 B+ 2.71,"JSS COLLEGE OF ARTS AND COMMERCE, GUNDLUPET",01/07/1983,Dr. MAHADEVAMMA P,Principal(in-charge),Yes,JSS COLLEGE OF ARTS AND COMMERCE BARAGI ROAD,KARNATAKA,CHAMARAJANAGAR,GUNDLUPET,571111,08229-222243,-,8050810147,jsscgpet1983@gmail.com,mahadevammahistory.2014@gmail.com,,"JSS COLLEGE OF ARTS AND COMMERCE BARAGI
ROAD",KARNATAKA,571111,-,-,9741212272,prabhuswamyb1968@gmail.com,,www.jsscgpet.org,"Yes
Year1- 2022 Year2- 2023",Grant-in-aid,"Affiliated
(Affiliated/Constituent Colleges)","Yes
28/05/1998
View Document","Yes
28/05/1998
View Document",No,No,No,No,Karnataka,University of Mysore,132,278,0,410,02/07/2008,19/03/2024 ,,,,,GUNDLUPET,,,,,,,,,,
07/03/2024,C-8128,KLCOGN12916,Accreditation,Cycle3 Cycle Date Grade Score 1 10/02/2007 B++ 83.25 2 27/11/2017 A 3.02 3 25/10/2024 A 3.04,N.S.S COLLEGE OTTAPALAM,10/07/1961,Dr. SAJEEV K.,Principal(in-charge),Yes,"N.S.S COLLEGE OTTAPALAM, PALAPPURAM, PALAKKAD DISTRICT",KERALA,PALAKKAD,PALAKKAD,679103,0466-2244382,-,9446975944,nssotp@gmail.com,nssiqac@gmail.com,Mrs. MANJU B.L. IQAC / CIQA coordinator,,KERALA,679103,0466-2244382,-,6282239972,manjublphysics@gmail.com,,https://nsscollegeottapalam.org,"Yes
Year1- 2022 Year2- 2023",Grant-in-aid,"Affiliated
(Affiliated/Constituent Colleges)","Yes
22/03/1972
View Document","Yes
22/03/1972
View Document",No,No,No,No,Kerala,University Of Calicut,430,1147,0,1577,04/08/2008,10/05/2023 ,,,,,PALAKKAD,,,,,,,,,,
10/11/2017,C-25863,TSCOGN11000,Accreditation,Cycle3 Cycle Date Grade Score 1 16/02/2004 A 85.30 2 15/09/2012 A 3.26 3 01/05/2019 B++ 2.76,GOVERNMENT CITY COLLEGE (AUTONOMOUS),01/01/1929,Dr.C. MANJULATHA,Principal,Yes,"Government City College (Autonomous), Nayapul, High Court Road, Hyderabad",TELANGANA,,HYDERABAD,500002,040-24521183,-,9866082461,citycollegehyd@gmail.com,iqaccitycollege@gmail.com,Dr.J. CHINNA BABU IQAC / CIQA coordinator,"Government City College (Autonomous), Nayapul, High Court Road, Hyderabad",TELANGANA,500002,040-24521182,-,9394801744,drjcbabu33@gmail.com,,www.govtcitycollege.ac.in,"Yes
Year1- 2016 Year2- 2017",Government,"Affiliated
(Autonomous colleges)","Yes
04/11/1974
View Document","Yes
04/11/1974
View Document","Yes
View Document",No,No,No,Telangana,Osmania University,1805,485,,2290,01/06/2004,08/08/2017 ,,,,,HYDERABAD,,,,,,,,,,
29/03/2023,C-7320,MHCOGN10896,Accreditation,Cycle3 Cycle Date Grade Score 1 16/02/2004 B+ 76.10 2 23/01/2017 B+ 2.51 3 06/10/2023 B+ 2.63,"NETAJI SUBHASHCHANDRA BOSE ARTS, COMMERCE AND SCIENCE COLLEGE, NANDED.",01/01/1971,Dr. SHIVANIKAR SUDHIR V.,Principal,Yes,"NETAJI SUBHASHCHANDRA BOSE ARTS, COMMERCE, AND SCIENCE COLLEGE, TARASINGH MARKET, VAZIRABAD, NANDED.",MAHARASHTRA,NANDED,NANDED,431601,02462-242917,02462-242017,9422172341,nsb_college_nanded@yahoo.com,iqacnsb@gmail.com,"Dr.
SHASHIKANT B DARGU
IQAC / CIQA coordinator","DEPARTMENT OF SANSKRIT, NETAJI
SUBHASHCHANDRA BOSE ARTS, COMMERCE, AND
SCIENCE COLLEGE, TARASINGH MARKET,
VAZIRABAD, NANDED",MAHARASHTRA,431601,02462-244486,02462-242017,9405773134,shashi.modi143@gmail.com,uttambas@gmail.com,www.nsbcn.org,"Yes
Year1- 2021 Year2- 2022",Grant-in-aid,"Affiliated
(Affiliated/Constituent Colleges)","Yes
05/08/1976
View Document","Yes
07/08/2006
View Document",No,No,,,Maharashtra,"Swami Ramanand Teerth
Marathwada University",841,876,0,1717,12/12/2009,29/12/2022 ,,,,,NANDED,,,,,,,,"N.S.B. COLLEGE, NANDED View Document",,
26/12/2022,C-50916,KLCOGN113240,Accreditation,Cycle1,ACE COLLEGE OF ENGINEERING,01/01/2013,Dr. FARRUKH SAYEED,Principal,Yes,"PLAPPATTIVILA, KARINKADAMUGAL, THRIUVALLAM, THIRUVANANTHAPURAM,KERALA, 695027",KERALA,THIRUVANANTHAPURAM,THIRUVANANTHAPURAM,695027,0471-7117777,-,8281829686,principal@acetvm.com,info@acetvm.com,Mr. AFSAL K F IQAC / CIQA coordinator,"PLAPPATTIVILA, KARINKADAMUGAL, THIRUVALLAM, THIRUVANANTHAPURAM, KERALA 695027",KERALA,695027,0471-7117787,-,9447321008,afsal.k@acetvm.com,kfafsal@gmail.com,www.acetvm.com,"Yes
Year1- 2021 Year2- 2022",Self Financing,"Affiliated
(Affiliated/Constituent Colleges)",No,No,No,No,No,Yes,Kerala,"A.P.J. Abdul Kalam
Technological University",369,196,0,565,17/09/2019,06/04/2022 ,,,,,THIRUVANANTHAPURAM,,,,,,,,,,
30/10/2021,C-8699,KACOGN11191,Accreditation,Cycle4 Cycle Date Grade Score 1 03/05/2004 B 70.40 2 04/09/2010 B 2.71 3 05/11/2016 A 3.1 4 15/11/2022 A 3.22,"BLDEA'S SMT.BANGARAMMA SAJJAN ARTS AND COMMERCE COLLEGE FOR WOMEN, VIJAYAPURA",01/01/1983,Dr. R.M.MIRDHE,Principal,Yes,"BLDEAs Smt.Bangaramma Sajjan Arts and Commerce College for Women, SS College Campus, BLDE Hospital Road, Vijayapura - 586101",KARNATAKA,BIJAPUR,BIJAPUR,586101,08352-253324,00-,9449859436,bldeaaccwb@rediffmail.com,rabiyamirdhe@gmail.com,,"BLDEAs Smt.Bangaramma Sajjan Arts and
Commerce College for Women,SS College
Campus BLDE Hospital Road, Vijayapura.",KARNATAKA,586101,-,-,9141117516,jrkotnal@gmail.com,gururajnkulkarni@bldea.org,http://bldeasbswc.ac.in,"Yes
Year1- 2019 Year2- 2020",Grant-in-aid,"Affiliated
(Affiliated PG & Above college)","Yes
25/07/1989
View Document","Yes
25/07/1989
View Document",No,No,No,,Karnataka,"Karnataka State Women
University",0,814,,814,08/07/2004,24/01/2020 ,,,,,BIJAPUR,,,,,,,,,,
